465895,eureka,1342-5641
1137746,the artist and journal of home culture,2329-8189
2978343,cumberland law review,0360-8298
3010151,comparative medicine east and west,0147-2917
3164724,physiological measurement,0967-3334
17807283,theoretical population biology,0040-5809
18204665,international journal of multiphase flow,0301-9322
27908409,acta veterinaria hungarica,0236-6290
40275224,revista latinoamericana de quimica,0370-5943
42124886,scandinavian journal of rheumatology,0300-9742
43712856,current archaeology,0011-3212
46496192,nutrition and health,0260-1060
50054696,advances in immunology,0065-2776
50585835,journal of the american research center in egypt,0065-9991
50630504,food microbiology,0740-0020
51897464,journal of electronics manufacturing,0960-3131
54941560,international journal of global environmental issues,1466-6650
56137297,currents,0748-478X
62018274,journal of international medical research,0300-0605
67731806,british veterinary journal,0007-1935
68332911,turkish journal of medical sciences,1300-0144
74082208,filtration industry analyst,1365-6937
74993422,industrial & engineering chemistry chemical & engineering data series,
76379409,epilepsy currents,1535-7511
78666835,macedonian journal of chemistry and chemical engineering,1857-5552
79201580,religion and human rights,1871-031X
79820318,scandinavian journal of forest research,0282-7581
80222133,the open acoustics journal,
82774605,hearing research,0378-5955
87328381,journal of occupational and organizational psychology,0963-1798
87560609,evolution,0014-3820
88256731,journal of central south university of technology,1005-9784
96107623,journal of computer aided materials design,0928-1045
96305778,transportation research part b methodological,0191-2615
98941412,handbooks of management accounting research,1878-0121
99453086,sports engineering,1369-7072
103271999,european journal of language policy,1757-6822
106702950,the american review of public administration,0275-0740
107004239,journal of emergency management,1543-5865
108758393,progress in lipid research,0163-7827
117687505,journal of cellular and comparative physiology,0095-9898
119405978,annual review of ecology evolution and systematics,1543-592X
119503851,journal of information security,
120037611,journal of manufacturing processes,1526-6125
125331230,mapping sciences & remote sensing,
132147440,ire transactions on product engineering and production,
133660675,european journal of phycology,0967-0262
139240842,journal of nuclear medicine technology,0091-4916
139597178,listy filologicke,
140928716,precision engineering journal of the international societies for precision engineering and nanotechnology,0141-6359
145743673,journal of english for academic purposes,1475-1585
148726610,journal of aerosol medicine and pulmonary drug delivery,1941-2711
161366077,new zealand journal of history,0028-8322
162117930,contemporary perspectives in family research,1530-3535
163078014,british journal of guidance & counselling,0306-9885
164212335,arab studies quarterly,0271-3519
168277307,epistemologia,0392-9760
169694011,global ecology and biogeography,1466-822X
170982493,journal of clinical densitometry,1094-6950
174019123,ieee transactions on engineering writing and speech,0018-9405
178238111,mathematical problems in engineering,1024-123X
179906512,theoretical and applied fracture mechanics,0167-8442
180821644,pediatric critical care medicine,1529-7535
181844767,journal of integrative bioinformatics,1613-4516
184466155,international journal of nanomanufacturing,1746-9392
186731534,university of pennsylvania journal of constitutional law,1521-2823
190942573,mobilization,1086-671X
194297245,computer audit update,0960-2593
196366644,annual review of physiology,0066-4278
196879544,molecular urology,1091-5362
205376447,acta chimica sinica,0567-7351
205877589,nuovo cimento della societa italiana di fisica a nuclei particles and fields,
207438450,expert reviews in molecular medicine,1462-3994
943873383,peckhamia,1944-8120
988156201,studi piemontesi,0392-7261
993389578,palaeontographica abteilung a palaozoologie stratigraphie,0375-0442
997569005,theatre research in canada recherches theatrales au canada,1196-1198
1001999377,international gas engineering and management,
2477164297,ieee journal of translational engineering in health and medicine,2168-2372
2597175965,arxiv computer vision and pattern recognition,
2736309657,boletim do museu de biologia mello leitao,0103-9121
2736411279,polish botanical journal,1641-8190
2736736438,environmental stresses in crop sciences,2228-7604
2737115538,revista de letras norte mentos,1983-8018
2737136005,munibe ciencias naturales,0214-7688
2737431740,econometrics,2225-1146
2737630320,e conservation journal,2183-1335
2737966377,atlantic review of economics,2174-3835
2738031195,paginas,
2738120869,sexualidad salud y sociedad revista latinoamericana,
2738248793,revista brasileira de recursos hidricos,
2738347192,parole rubate rivista internazionale di studi sulla citazione,2039-0114
2738352793,revista virtual de la sociedad paraguaya de medicina interna,2312-3893
2738594227,cuadernos de economia,
2739150457,conexoes culturais,2447-018X
2739184106,cirugia cardiovascular,1134-0096
2739295176,arquipelago life and marine sciences,
2751117172,national medical journal of china,0376-2491
2754147460,maryland medical journal,0886-0572
2754194036,marseille medical,0025-4053
2754213467,ceskoslovenska patologie,1210-7875
2754400875,angewandte parasitologie,0003-3162
2754613715,adolescent medicine (philadelphia),
2754844806,journal of the mount sinai hospital new york,0099-9695
2755459715,anais do instituto de medicina tropical,0365-3307
2755631367,global journal of health science,1916-9736
2755645565,quintessence international dental digest,
2755808581,ems world,2158-7833
2756436655,american journal of pharmacy and the sciences supporting public health,0002-9467
2764347033,multicultural education,1068-3844
2764352319,unnes journal of mathematics education research,2502-4507
2764352813,vidyodaya journal of science,1800-1261
2764367847,nova scotia museum,
2764383705,journal of the mining and metallurgical institute of japan,0369-4194
2764385797,china wood industry,1001-8654
2764386651,journal of optometric education,0098-6917
2764398874,optical fiber & electric cable and their applications,
2764419237,natural product sciences,1226-3907
2764421342,journal of studies in technical careers,0163-3252
2764421793,iranian journal of business and economics,
2764428561,journal of public health and preventive medicine,
2764429030,polish art studies,0208-7243
2764447643,district administration,1537-5749
2764468938,nigerian journal of natural products and medicine,1118-6267
2764482251,journal of combustion science and technology,1006-8740
2764494850,the indian journal of sleep medicine,0973-340X
2764518860,annals of economics and statistics,2115-4430
2764524227,jsse journal of social science education,1439-6246
2764533006,trends in polymer science,0966-4793
2764540158,international journal of wellbeing,1179-8602
2764550593,research communications in psychology psychiatry and behavior,0362-2428
2764563077,primary education,
2764566763,journal of harbin teachers college,
2764570021,indian journal of mednodent and allied sciences,2347-6192
2764602243,prism a journal of the center for complex operations,2157-0663
2764602490,environment and pollution,1927-0909
2764611464,open journal of discrete mathematics,2161-7635
2764619335,ethics policy and environment,
2764626366,sustainable development law and policy,1552-3721
2764658692,quintessence of dental technology,0362-0913
2764659652,international journal of research in it and management,
2764660701,international journal of social and economic research,
2764664873,international journal of infection,2383-1413
2764671737,rhodes journalism review,
2764687577,journal of the oceanographical society of japan,
2764687747,trrl translation,
2764692450,iranian journal of emergency medicine,
2764696291,journal of the sanitary engineering division,0044-7986
2764699271,jiangxi forestry science and technology,
2764699801,entwicklung and landlicher raum,
2764701300,methods archive,
2764710887,technical report of ieice ome,
2764720785,conservation science in cultural heritage,1973-9494
2764722508,transactions of japan society of spring engineers,0385-6917
2764729978,chinese journal of medicinal chemistry,1005-0108
2764745674,tyumen state university herald humanities research humanitates,
2764765344,journal of australian native plants society,
2764793812,land & resources,
2764807442,journal of emotional and behavioral problems,1064-7023
2764815606,agriculture network information,
2764821307,clinical preventive dentistry,0163-9633
2764848207,saarc journal of agriculture,1682-8348
2764849277,industrial organization,
2764850660,journal of qingdao technological university,
2764861614,journal of linyi university,
2764862224,journal of nanostructures,2251-7871
2764865870,environmental technology and innovation,2352-1864
2764871307,journal of guangxi institute of technology,
2764876902,acta pharmaceutica nordica,1100-1801
2764890403,applied chemistry,
2764902616,journal of heilongjiang institute of science,
2764939664,steamboat bill,
2764960828,clinical excellence for nurse practitioners the international journal of npace,
2764973561,the international sports law journal,1567-7559
2764975496,student undergraduate research e journal,
2764976035,banach center publications,0137-6934
2764994656,pain research and clinical management,0921-3287
2764998356,journal of local history and culture,1229-9286
2765008179,pediatric dental journal,0917-2394
2765008484,advances in laser science i,
2765027305,arterial naya gipertenziya,
2765033224,explorations in media ecology,1539-7785
2765045380,journal of molecular science,
2765058173,center for comparative immigration studies,
2765063122,international journal of hematology oncology and stem cell research,2008-2207
2765073140,journal of communication and computer,1548-7709
2765076424,writing on the edge,1064-6051
2765078294,journal of shangrao normal college,
2898213522,philosophical constructs for the chiropractic profession,2214-9163
2898246069,revista colombiana de reumatologia,0121-8123
2948509140,meta translators journal,0026-0452
4695008,international review of intellectual property and competition law,0018-9855
13669392,german economic review,1465-6485
18702314,logos journal of the world book community,
20709540,expert opinion on drug safety,1474-0338
22382660,medicinal research reviews,0198-6325
22607022,food and agricultural immunology,0954-0105
26862755,performance improvement quarterly,0898-5952
31465112,journal of anatomy,0021-8782
36555808,current topics in developmental biology,0070-2153
37588179,sociologie,
40982841,bulletin of the american schools of oriental research,0003-097X
42205570,learning in health and social care,1473-6853
46539477,nihon gekakei rengo gakkaishi (journal of japanese college of surgeons),
46544255,plos neglected tropical diseases,1935-2727
54302288,annali italiani di chirurgia,0003-469X
58812326,revue de geographie alpine journal of alpine research,
63023845,journal of radioanalytical and nuclear chemistry,0236-5731
63410363,basic and applied myology,1120-9992
65792589,progress in nucleic acid research and molecular biology,0079-6603
66393655,journal of fire protection engineering,1042-3915
68478772,revista direito gv,1808-2432
75832472,journal of social psychology,0022-4545
79038290,journal for research in mathematics education,0021-8251
79415054,psychologist,0952-8229
84705137,publications de l institut mathematique,0350-1302
85589887,international journal of legal medicine,0367-0031
87230527,journal of the chemical society perkin transactions 1,
91548813,the global south,1932-8648
92695244,andamios,1870-0063
95344940,deutsche zeitschrift fur philosophie,0012-1045
95450724,journal of children and poverty,1079-6126
98169967,gene therapy and molecular biology,1529-9120
99315931,journal of sulfur chemistry,1741-5993
101267242,american communist history,1474-3892
102250854,journal of contemporary religion,1353-7903
102916872,oral oncology,1368-8375
104875562,physics letters a,
105204244,texas law review,0040-4411
107914479,university of pennsylvania law review,0041-9907
108294569,cirugia y cirujanos,0009-7411
109194713,focus on powder coatings,1364-5439
111447645,the review of laser engineering,0387-0200
113184331,scandinavian studies,0036-5637
113449338,journal of shanghai jiaotong university (science),1995-8188
115196597,jornal brasileiro de nefrologia,
118170198,blumea,0006-5196
119142761,current medicinal chemistry cardiovascular & hematological agents,
120650898,ieee transactions on aerospace and navigational electronics,0096-1957
129123307,croatian journal of forest engineering,1845-5719
129233233,kidney,
130329595,gamm mitteilungen,0936-7195
134585236,space policy,0265-9646
136193619,international journal of media and cultural politics,1740-8296
136263124,neues jahrbuch fur mineralogie abhandlungen,0077-7757
140275824,fooyin journal of health sciences,1877-8607
143072383,rna biology,1547-6286
145553572,international journal of general systems,0308-1079
153169766,the open parasitology journal,
154487680,chemical engineering & technology,0930-7516
155658104,ecumene,0967-4608
155971510,neuro ophthalmology,0165-8107
158751353,journal of transcultural nursing,1043-6596
159239039,cerevisia,1373-7163
160934207,journal of engineering mechanics asce,0733-9399
164077388,international journal of vehicular technology,1687-5702
164687667,sprache & kognition,0253-4533
164751776,journal of chemical research s,0308-2342
165300654,opportunistic pathogens,1386-2618
168387291,asian journal of management cases,0972-8201
168628147,philosophical books,0031-8051
168826504,black music research journal,0276-3605
169411308,fuzzy sets and systems,0165-0114
170832471,fashion practice the journal of design creative process & the fashion industr,
171971566,convergencia revista de ciencias sociales,1405-1435
177107850,gastroenterology clinics of north america,0889-8553
177566603,ophthalmic research,0030-3747
177636448,angle orthodontist,0003-3219
181273861,resistance studies magazine,1654-7063
184932276,asia pacific education review,1598-1037
185092187,journal of the japan epilepsy society,0912-0890
186823356,energy for sustainable development,2352-4669
193040567,communication methods and measures,1931-2458
193475107,hyperfine interactions,0304-3843
194044894,international journal of theoretical physics,0020-7748
195297104,organizational dynamics,0090-2616
196498761,drying technology,0737-3937
196895796,cineforum,0009-7039
203303425,cancer immunology immunotherapy,0340-7004
203549655,discrete optimization,1572-5286
940600532,kwartalnik historii zydow jewish history quarterly,
940616071,early modern women an interdisciplinary journal,1933-0065
982029923,synthesis lectures on data management,2153-5418
2488537894,ieee transactions on cognitive and developmental systems,2379-8920
2595899084,arxiv human computer interaction,
2736459969,badebec,1853-9580
2736487386,interventions economiques pour une alternative sociale,0715-3570
2736741801,barents studies peoples economies and politics,2324-0652
2736756823,trendovi u poslovanju,2334-816X
2737246436,indonesian journal of islam and muslim societies,2089-1490
2737251451,management science letters,1923-9335
2737512014,international journal of neonatal screening,2409-515X
2737731412,journal of university of babylon,2312-8135
2737985625,strenae,2109-9081
2737987524,moravian geographical reports,1210-8812
2737992640,pizhūhishnāmah i iqtiṣād i inirzhī i īrān,
2738292967,studia aurea revista de literatura espanola y teoria literaria del renacimiento y siglo de oro,1988-1088
2738458479,revista internacional de organizaciones,1886-4171
2754542432,der krebsarzt,0368-6698
2754730515,leprosy in india,0024-1024
2755041992,the journal of the new york state nurses association,0028-7644
2755162016,annali di stomatologia,1824-0852
2755213372,kiserletes orvostudomany,0023-1878
2755483317,archives d anatomie et de cytologie pathologiques,0395-501X
2755996389,journal of christian nursing a quarterly publication of nurses christian fellowship,
2764358635,journal of health in the field,2383-1375
2764378755,journal of agricultural science and environment,2277-0755
2764380584,wit transactions on information and communication technologies,1743-3517
2764385097,studies in polymer science,0922-5579
2764394099,indian journal of youth and adolescent health,2349-2880
2764405725,bulletin of the national science museum series c geology & paleontology,0385-244X
2764409723,journal of education institute of taiyuan university,
2764420508,new directions,1881-0349
2764431435,electronics constructions technologies applications,
2764433534,the canadian journal of regional science,0705-4580
2764440303,ilha do desterro a journal of english language literatures in english and cultural studies,0101-4846
2764443717,english language teaching journal,
2764470259,asian journal of education,1229-9448
2764473609,journal os southern institute of metallurgy,
2764477558,international journal of multicriteria decision making,2040-106X
2764485423,journal of the malacological society of australia,0085-2988
2764494681,austrian journal of technical and natural sciences,2310-5607
2764498497,the journal of clinical and scientific research,
2764513707,qualitative research in sport exercise and health,2159-676X
2764537523,yunnan journal of traditional chinese medicine and materia medica,
2764547726,reports of the national academy of sciences of ukraine,1025-6415
2764553205,bulletin of science and technology,
2764559428,open journal of physical chemistry,
2764561923,advances in animal biosciences,2040-4700
2764574283,journal of the philosophy of sport and physical education,0915-5104
2764579542,biomedical fuzzy and human sciences the official journal of the biomedical fuzzy systems association,
2764584009,bulletin of the british museum of natural history,
2764591912,journal of northwest semitic languages,0259-0131
2764595383,agricultural science&technology and equipment,
2764596401,journal of kones powertrain and transport,
2764633459,international journal of advanced research in computer science and electronics engineering,2277-9043
2764634893,media spectrum,
2764634936,design for arts in education,0732-0973
2764636984,geriatrics & health care,
2764643833,croatian journal of infection,1331-2820
2764647449,ceylon veterinary journal,
2764661299,international journal of dental sciences and research,2333-1135
2764682271,selektsiya i semenovodstvo,
2764698868,the japanese journal of nursing arts,0449-752X
2764699570,journal of south china normal university,
2764712249,reclaiming children and youth,
2764720961,gateways international journal of community research and engagement,1836-3393
2764723761,iranian journal of health and environment,2008-2029
2764757655,journal of the phonetic society of japan,1342-8675
2764762630,journal of the american college of toxicology,0730-0913
2764764886,journal of the surveying and mapping division,0569-8073
2764766889,china ceramics,
2764787957,oklahoma politics,1065-0695
2764788834,fundamental toxicological sciences,2189-115X
2764789317,electro optics & passive countermeasures,
2764805634,the journal of the academy of clinical dentistry,
2764809114,far east journal of mathematical sciences,0972-0871
2764818706,journal of wenzhou medical college,
2764826912,logistics engineering and management,
2764854513,frontiers of entrepreneurship research,0740-7416
2764857267,lens and eye toxicity research,1042-6922
2764862412,journal of sustainable agriculture and the environment,1119-8152
2764862620,nottingham medieval studies,0078-2122
2764864648,chinese journal of medical imaging,1005-5185
2764865924,new zealand journal of experimental agriculture,0301-5521
2764904776,american journal of civil engineering and architecture,2328-3998
2764908727,commercial research,
2764908868,current health sciences journal,2067-0656
2764912600,rssi recherches semiotiques semiotic inquiry,0229-8651
2764917640,journal of conflictology,2013-8857
2764926044,medical equipment,
2764929533,south asian journal of management,0971-5428
2764942765,the british journal of cancer supplement,0306-9443
2764955527,guihai tribune,
2764957945,journal of yanbei teachers college,
2764979606,iet electrical systems in transportation,2042-9738
2764983339,hebei journal of traditional chinese medicine,
2764990517,occupational safety science and practice,
2765000448,journal of research in national development,1596-8308
2765014693,the journal of the herpetological association of rhodesia,
2765016914,the educational record,0013-1873
2765034920,gec journal of research,0264-9187
2765035900,medical journal of osaka university,0030-6169
2765038440,journal of guangdong ocean university,
2765052175,international journal of data mining & knowledge management process,2230-9608
2765057867,cell & developmental biology,2168-9296
2765070658,today s education,0734-7219
